City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,chibougamau,49.9168,-74.3659,22.79,43,40,6.17,CA,1691348321
276,quibdo,5.6947,-76.6611,28.19,83,100,4.12,CO,1691348298
277,port saint john's,-31.6229,29.5448,18.72,70,0,4.32,ZA,1691348143
278,san pedro pochutla,15.7333,-96.4667,35.4,54,11,2.99,MX,1691348321
279,abqaiq,25.9371,49.6776,34.45,46,22,2.58,SA,1691348322
280,bria,6.5423,21.9863,21.4,93,98,1.45,CF,1691348322
281,margaret river,-33.95,115.0667,11.53,75,100,3.4,AU,1691348114
282,coxen hole,16.3244,-86.5366,30.6,79,20,5.14,HN,1691348322
283,corpus christi,27.8006,-97.3964,37.34,74,40,8.75,US,1691348031
284,mayya,61.7333,130.2811,14.62,62,0,2.77,RU,1691348322
285,pangody,65.85,74.4859,18.66,50,7,2.98,RU,1691348322
286,touros,-5.1989,-35.4608,27.56,68,50,8.03,BR,1691348322
287,leh,34.1667,77.5833,18.51,47,43,2.35,IN,1691348323
288,sandefjord,59.1312,10.2167,16.82,78,40,3.6,NO,1691348323
289,kununurra,-15.7667,128.7333,22.99,33,6,5.14,AU,1691348037
290,kismayo,-0.3582,42.5454,24.58,83,92,7.97,SO,1691348323
291,hithadhoo,-0.6,73.0833,27.76,76,81,2.06,MV,1691348120
292,isangel,-19.55,169.2667,19.06,94,75,0.0,VU,1691348323
293,yanam,16.7333,82.2167,28.19,75,100,1.93,IN,1691348323
294,yung shue wan,22.2333,114.1167,29.82,85,30,5.76,HK,1691348323
295,morehead city,34.7229,-76.726,32.24,71,17,4.47,US,1691348074
296,santana,-0.0583,-51.1817,33.1,58,40,4.63,BR,1691348039
297,mulchen,-37.7167,-72.2333,14.92,57,19,1.25,CL,1691348324
298,tvoroyri,61.5556,-6.8111,11.89,85,100,3.38,FO,1691348324
299,santo antonio,-6.3106,-35.4789,28.85,52,9,7.4,BR,1691348324
300,khandyga,62.6667,135.6,12.74,49,32,4.35,RU,1691348324
301,point pedro,9.8167,80.2333,27.58,75,100,6.34,LK,1691348324
302,lorengau,-2.0226,147.2712,26.84,77,54,7.24,PG,1691348135
303,rio grande,-32.035,-52.0986,31.06,68,0,4.62,BR,1691348274
304,tibro,58.4245,14.1616,12.85,96,100,4.92,SE,1691348324
305,rabo de peixe,37.8,-25.5833,23.73,69,40,4.12,PT,1691348324
306,mary,37.0,62.5,30.38,27,0,5.62,TM,1691348325
307,oranjemund,-28.55,16.4333,13.15,83,0,2.74,,1691348120
308,treinta y tres,-33.2333,-54.3833,24.92,64,100,5.79,UY,1691348325
309,mhamid,29.82,-5.72,42.3,6,69,3.74,MA,1691348325
310,alexandria,31.2156,29.9553,30.3,61,0,4.12,EG,1691348169
311,ancud,-41.8697,-73.8203,9.21,71,20,3.06,CL,1691348325
312,tremonton,41.7119,-112.1655,28.43,34,0,2.68,US,1691348325
313,saint-pierre,-21.3393,55.4781,20.82,73,40,10.8,RE,1691348325
314,yanta,36.2411,115.6672,21.96,79,57,1.96,CN,1691348326
315,salekhard,66.53,66.6019,19.58,56,0,1.77,RU,1691348326
316,pisco,-13.7,-76.2167,21.03,73,0,4.63,PE,1691348326
317,kirensk,57.7853,108.1119,13.41,98,97,1.1,RU,1691348135
318,north ward,-19.2454,146.8075,13.95,88,1,0.0,AU,1691348326
319,usogorsk,63.4106,48.6872,16.63,85,30,1.88,RU,1691348326
320,kavaratti,10.5669,72.642,28.1,75,23,8.49,IN,1691348147
321,newman,37.3138,-121.0208,34.47,17,0,5.39,US,1691348138
322,niafunke,15.9322,-3.9906,29.14,51,77,5.71,ML,1691348326
323,afif,23.9065,42.9172,30.71,11,0,5.69,SA,1691348327
324,nar'yan-mar,67.6713,53.087,16.11,87,42,2.52,RU,1691348327
325,puerto baquerizo moreno,-0.9,-89.6,26.55,69,40,6.69,EC,1691348327
326,forbes,-33.3833,148.0167,8.84,74,99,1.34,AU,1691348327
327,preston,53.7667,-2.7167,16.63,87,6,3.83,GB,1691348327
328,kamaishi,39.2667,141.8833,24.76,95,100,4.11,JP,1691348327
329,atafu village,-8.5421,-172.5159,28.46,75,15,4.29,TK,1691348136
330,itamaraca,-7.7478,-34.8256,25.03,81,62,5.6,BR,1691348327
331,la gi,10.6667,107.7833,25.08,90,4,4.68,VN,1691348327
332,saint-francois,46.4154,3.9054,18.69,52,0,3.09,FR,1691348327
333,savonlinna,61.8699,28.88,20.03,77,0,3.09,FI,1691348328
334,keizer,44.9901,-123.0262,25.38,64,75,2.06,US,1691348189
335,daru,-9.0763,143.2092,24.74,67,99,5.77,PG,1691348114
336,college,64.8569,-147.8028,23.45,56,75,2.57,US,1691348132
337,ceeldheer,3.8488,47.1806,24.69,85,91,10.61,SO,1691348328
